title,NEW impact,NEW category
Structural pathway for PI3-kinase regulation by VPS15 in autophagy,Elucidating known PD pathways,Clearance
Control of mitophagy initiation and progression by the TBK1 adaptors NAP1 and SINTBAD,Elucidating known PD pathways,Clearance
α-synuclein promotes neuronal dysfunction and death by disrupting the binding of ankyrin to ß-spectrin,Elucidating known PD pathways,Proteinopathy
Circular RNA in the human brain are tailored to neuron identity and neuropsychiatric disease,New method/model to explore PD mechanism,Omics
Parkinson's genes orchestrate pyroptosis through selective trafficking of mtDNA to leaky lysosomes,Elucidating known PD pathways,Clearance
Detecting rhythmic spiking through the power spectra of point process model residuals,Foundational Biology,Circuitry & Neuromodulation
Genetic meta-analysis of levodopa induced dyskinesia in Parkinson’s disease,New target/circuit for PD,Omics
Vibrational Stabilization of Complex Network Systems,Foundational Biology,Circuitry & Neuromodulation
Adult-specific Reelin expression alters striatal neuronal organization: implications for neuropsychiatric disorders,Foundational Biology,"Circuitry & Neuromodulation, Proteinopathy"
A RAB7A Phosphoswitch Coordinates Rubicon Homology Protein Regulation of PINK1/Parkin-Dependent Mitophagy,Elucidating known PD pathways,Clearance
Functional characterization of ATP13A2 variants associated with distinct neurodegenerative disorders,Foundational Biology,Clearance
Feed-forward metabotropic signaling by Cav1 Ca2+ channels supports pacemaking in pedunculopontine cholinergic neurons,Foundational Biology,"Circuitry & Neuromodulation, Cellular Subtyping"
The SATB1-MIR22-GBA axis mediates glucocerebroside accumulation inducing a cellular senescence-like phenotype in dopaminergic neurons,Elucidating known PD pathways,"Clearance, PD Risk Factors"
Inhibition of striatal dopamine release by the L-type calcium channel inhibitor isradipine co-varies with risk factors for Parkinson's,Elucidating known PD pathways,Circuitry & Neuromodulation
Evaluation of an adapted semi-automated DNA extraction for human salivary shotgun metagenomics,New method/model to explore PD mechanism,"Gut & Microbiome, Methods"
Phenotypic effect of GBA1 variants in individuals with and without Parkinson disease: the RAPSODI study,Confirmatory results,"Translational and Clinical Measures of Disease Biology, Clearance"
α-Synuclein expression in response to bacterial ligands and metabolites in gut enteroendocrine cells – an in vitro proof of concept study,Elucidating known PD pathways,"Proteinopathy, Gut & Microbiome"
POLCAM: Instant molecular orientation microscopy for the life sciences,New method/model to explore PD mechanism,Methods
Localization of PPM1H phosphatase tunes Parkinson’s disease-linked LRRK2 kinase-mediated Rab GTPase phosphorylation and ciliogenesis,Elucidating known PD pathways,Clearance
Vibrational Stabilization of Cluster Synchronization in Oscillator Networks,Foundational Biology,Circuitry & Neuromodulation
Erythroid Differentiation Dependent Interaction of VPS13A with XK at the Plasma Membrane of K562 Cells,Foundational Biology,Clearance
Proteostasis and lysosomal quality control deficits in Alzheimer’s disease neurons,New method/model to explore PD mechanism,"Clearance, PD Risk Factors"
Non-ablative disease-modifying effects of magnetic resonance-guided focused ultrasound in neuromelanin-producing parkinsonian rodents,New method/model to explore PD mechanism,"Proteinopathy, Translational and Clinical Measures of Disease Biology"
Modelling human brain-wide pigmentation in rodents recapitulates age-related multisystem neurodegenerative deficits,New method/model to explore PD mechanism,"Methods, Proteinopathy"
Neuromelanin accumulation drives endogenous synucleinopathy in non-human primates,Elucidating known PD pathways,Proteinopathy
A mono- and intralink filter (mi-filter) to reduce false identifications in cross-linking mass spectrometry data,New method/model to explore PD mechanism,Methods
KAT8 compound inhibition inhibits the initial steps of PINK1-dependant mitophagy,New target/circuit for PD,"Clearance, Methods"
Reduced Thalamic Excitation to Motor Cortical Pyramidal Tract Neurons in Parkinsonism,Elucidating known PD pathways,Circuitry & Neuromodulation
Interaction of an α-synuclein epitope with HLA-DRB1*15:01 triggers enteric features in mice reminiscent of prodromal Parkinson’s disease,Elucidating known PD pathways,"Proteinopathy, Inflammation & Immune Regulation"
RAB3 phosphorylation by pathogenic LRRK2 impairs trafficking of synaptic vesicle precursors,Elucidating known PD pathways,Clearance
Generation of human-induced pluripotent-stem-cell-derived cortical neurons for high-throughput imaging of neurite morphology and neuron maturation,New method/model to explore PD mechanism,Methods
CURTAIN—A unique web-based tool for exploration and sharing of MS-based proteomics data,New method/model to explore PD mechanism,"Clearance, Methods"
"Three-step docking by WIPI2, ATG16L1 and ATG3 delivers LC3 to the phagophore",Elucidating known PD pathways,Clearance
Synaptotagmin-1-dependent phasic axonal dopamine release is dispensable for basic motor behaviors in mice,Elucidating known PD pathways,Circuitry & Neuromodulation
The longitudinal progression of autonomic dysfunction in Parkinson's disease: a 7-year study,New method/model to explore PD mechanism,PD Risk Factors
Detecting Full-Length EccDNA with FLED and long-reads sequencing,Foundational Biology,Omics
Synapsin E-domain is essential for α-synuclein function,Elucidating known PD pathways,Proteinopathy
PARK15/FBXO7 is dispensable for PINK1/Parkin mitophagy in iNeurons and HeLa cell systems,Disprove target for PD,Clearance
LRRK2 regulates the activation of the unfolded protein response and antigen presentation in macrophages during inflammation,Elucidating known PD pathways,Inflammation & Immune Regulation
Dopamine transporter and synaptic vesicle sorting defects underlie auxilin-associated Parkinson's disease,New method/model to explore PD mechanism,Clearance
Structure and activation of the human autophagy-initiating ULK1C:PI3KC3-C1 supercomplex,Elucidating known PD pathways,Methods
The lipid flippase ATP10B enables cellular lipid uptake under stress conditions,Elucidating known PD pathways,Clearance
Parkinson's VPS35[D620N] mutation induces LRRK2-mediated lysosomal association of RILPL1 and TMEM55B,Elucidating known PD pathways,Clearance
Protein aggregation and calcium dysregulation are hallmarks of familial Parkinson’s disease in midbrain dopaminergic neurons,New method/model to explore PD mechanism,Proteinopathy
"The calcium sensor synaptotagmin-1 is critical for phasic axonal dopamine release in the striatum and mesencephalon, but is dispensable for basic motor behaviors in mice",Elucidating known PD pathways,Circuitry & Neuromodulation
Astrocytic LRRK2 Controls Synaptic Connectivity through ERM Phosphorylation,Elucidating known PD pathways,"Clearance, Inflammation & Immune Regulation"
Simulations predict differing phase responses to excitation vs. inhibition intheta-resonant pyramidal neurons,Foundational Biology,Circuitry & Neuromodulation
LRRK2 suppresses lysosome degradative activity in macrophages and microglia through MiT-TFE transcription factor inhibition,Elucidating known PD pathways,Clearance
Mitoguardin-2–mediated lipid transfer preserves mitochondrial morphology and lipid droplet formation,Foundational Biology,Clearance
TNF-NF-κB-p53 axis restricts in vivo survival of hPSC-derived dopamine neurons,Foundational Biology,Methods
"Rapid iPSC inclusionopathy models shed light on formation, consequence, and molecular subtype of α-synuclein inclusions",New method/model to explore PD mechanism,Methods
The Parkinson’s disease protein alpha-synuclein is a modulator of processing bodies and mRNA stability,Elucidating known PD pathways,Proteinopathy
Nicotine-Mediated Rescue of α-Synuclein Toxicity Requires Synaptic Vesicle Glycoprotein 2 in Drosophila,Elucidating known PD pathways,Methods
α-Synuclein Promotes Neuronal Dysfunction and Death by Disrupting the Binding of Ankyrin to β-Spectrin,Elucidating known PD pathways,Proteinopathy
Parkinson's Progression Markers Initiative: A Milestone-Based Strategy to Monitor PD Progression,New method/model to explore PD mechanism,Translational and Clinical Measures of Disease Biology
Post-fibrillization nitration of alpha-synuclein abolishes its seeding activity and pathology formation in primary neurons and in vivo,Disprove target for PD,Proteinopathy
Spatial transcriptomics reveals molecular dysfunction associated with Lewy pathology,Elucidating known PD pathways,"Omics, Proteinopathy"
ATP13A2-mediated endo-lysosomal polyamine export counters mitochondrial oxidative stress,Elucidating known PD pathways,Clearance
The annotation of GBA1 has been concealed by its protein-coding pseudogene GBAP1,Elucidating known PD pathways,Omics 
Border-associated macrophages mediate the neuroinflammatory response in an alpha-synuclein model of Parkinson disease,Elucidating known PD pathways,Inflammation & Immune Regulation
Conserved and cell type-specific transcriptional responses to IFN-γ in the ventral midbrain,Foundational Biology,Inflammation & Immune Regulation
Unaltered T cell responses to common antigens in individuals with Parkinson’s disease,Disprove target for PD,Inflammation & Immune Regulation
Genetic and pharmacological reduction of CDK14 mitigates synucleinopathy,Elucidating known PD pathways,Proteinopathy
"Constitutive nuclear accumulation of endogenous alpha-synuclein in mice causes motor impairment and cortical dysfunction, independent of protein aggregation",Elucidating known PD pathways,"Methods, Proteinopathy"
Quantitative mapping of autophagic cargo during nutrient stress reveals YIPF3-YIPF4 as membrane receptors for Golgiphagy,New target/circuit for PD,"Clearance, Omics"
Spatial snapshots of amyloid precursor protein intramembrane processing via early endosome proteomics,Elucidating known PD pathways,Clearance
Population fraction of Parkinson’s disease attributable to preventable risk factors,New method/model to explore PD mechanism,PD Risk Factors
Structural and functional landscape of α-synuclein fibril conformations amplified from cerebrospinal fluid,Elucidating known PD pathways,Proteinopathy
Basal ganglia neurons in healthy and parkinsonian primates generate recurring sequences of spikes,Elucidating known PD pathways,Circuitry & Neuromodulation
Metagenomics of Parkinson’s disease implicates the gut microbiome in multiple disease mechanisms,New target/circuit for PD,Gut & Microbiome
Genome-wide association identified novel etiological insights associated with Parkinson's disease in African and African admixed populations,Elucidating known PD pathways,Omics
Sex-Specific Microglial Responses to Glucocerebrosidase Inhibition: Relevance to GBA1-Linked Parkinson’s Disease,Elucidating known PD pathways,Clearance
Early deficits in an in vitro striatal microcircuit model carrying the Parkinson’s GBA-N370S mutation,New method/model to explore PD mechanism,Circuitry & Neuromodulation
"Single-cell spatial transcriptomic and translatomic profiling of dopaminergic neurons in health, aging, and disease",New method/model to explore PD mechanism,"Omics, Cellular Subtyping"
"Scalable, flexible carbon fiber electrode thread arrays for three-dimensional probing of neurochemical activity in deep brain structures of rodents",New method/model to explore PD mechanism,"Methods, Circuitry & Neuromodulation"
Multi-ancestry genome-wide meta-analysis in Parkinson’s disease,New method/model to explore PD mechanism,Omics
Biomarkers of neurodegeneration and glial activation validated in Alzheimer’s disease assessed in longitudinal cerebrospinal fluid samples of Parkinson’s disease,Confirmatory results,Inflammation & Immune Regulation
High diagnostic performance of independent alpha-synuclein seed amplification assays for detection of early Parkinson’s disease,Confirmatory results,"Proteinopathy, Methods"
Dopamine transporter imaging predicts clinically‐defined α‐synucleinopathy in REM sleep behavior disorder,New method/model to explore PD mechanism,Translational and Clinical Measures of Disease Biology
Dystonia-Parkinsonism Gene Variants in Individuals with Parkinsonism and Brain Scans without Evidence for Dopaminergic Deficit (SWEDD),New target/circuit for PD,Omics
Updated Percentiles for the University of Pennsylvania Smell Identification Test in Adults 50 Years of Age and Older,New method/model to explore PD mechanism,PD Risk Factors
Urinary bis(monacylglycerol) phosphate (BMP) levels are higher in LRRK2 and GBA1 variant carriers but do not predict disease progression in PPMI cohorts,Elucidating known PD pathways,Clearance
Impact of the dopamine system on long-term cognitive impairment in Parkinson disease: an exploratory study,New method/model to explore PD mechanism,PD Risk Factors
DOPA pheomelanin is increased in nigral neuromelanin of Parkinson’s disease,Elucidating known PD pathways,PD Risk Factors
"Splicing accuracy varies across human introns, tissues and age",Foundational Biology,Methods
L1 retrotransposons drive human neuronal transcriptome complexity and functional diversification,New method/model to explore PD mechanism,Omics
LRRK2-G2019S Synergizes with Ageing and Low-Grade Inflammation to Promote Gut and Peripheral Immune Cell Activation that Precede Nigrostriatal Degeneration,Confirmatory results,"Inflammation & Immune Regulation, Translational and Clinical Measures of Disease Biology"
Regulation of mitophagy by the NSL complex underlies genetic risk for Parkinson’s disease at 16q11.2 and MAPT H1 loci,Elucidating known PD pathways,"Clearance, Omics"
Unconventional secretion of α-synuclein mediated by palmitoylated DNAJC5 oligomers,New target/circuit for PD,Proteinopathy
Assessment of heterogeneity and disease onset in the Parkinson’s Progression Markers Initiative (PPMI) cohort using the α-synuclein seed amplification assay: a cross-sectional study,Elucidating known PD pathways,Translational and Clinical Measures of Disease Biology
Genome-wide screen reveals Rab12 GTPase as a critical activator of Parkinson's disease-linked LRRK2 kinase,New target/circuit for PD,Clearance
Protein network analysis links the NSL complex to Parkinson’s disease via mitochondrial and nuclear biology,Elucidating known PD pathways,"Clearance, Omics"
The non-specific lethal complex regulates genes and pathways genetically linked to Parkinson’s disease,New method/model to explore PD mechanism,"Clearance, Methods"
An open-source head-fixation and implant-protection system for mice,New method/model to explore PD mechanism,Methods
Serine-129 phosphorylation of α-synuclein is an activity-dependent trigger for physiologic protein-protein interactions and synaptic function,Elucidating known PD pathways,Proteinopathy
Novel green fluorescent polyamines to analyze ATP13A2 and ATP13A3 activity in the mammalian polyamine transport system,New method/model to explore PD mechanism,Clearance
Temporal landscape of mitochondrial proteostasis governed by the UPRmt,New method/model to explore PD mechanism,Clearance
Proteomics analysis of autophagy cargos reveals distinct adaptations in PINK1 and LRRK2 models of Parkinson disease,Elucidating known PD pathways,Clearance
"Golgi-IP, a novel tool for multimodal analysis of Golgi molecular content",New method/model to explore PD mechanism,Clearance
"Regulatory imbalance between LRRK2 kinase, PPM1H phosphatase, and ARF6 GTPase disrupts the axonal transport of autophagosomes",Elucidating known PD pathways,Clearance
Unconventional Initiation of PINK1/Parkin Mitophagy by Optineurin,Elucidating known PD pathways,Clearance
Genome-wide Analysis of Motor Progression in Parkinson Disease,Elucidating known PD pathways,Omics
Detection of mosaic and population-level structural variants with Sniffles2,New method/model to explore PD mechanism,Omics
Sphingolipid changes in Parkinson L444P GBAmutation fibroblasts promote α-synuclein aggregation,Confirmatory results,"Proteinopathy, Omics"
Neuronal hyperactivity-induced oxidant stress promotes in vivo α-synuclein brain spreading,Confirmatory results,"Proteinopathy, Clearance"
Glucocerebrosidase is imported into mitochondria and preserves complex I integrity and energy metabolism,Elucidating known PD pathways,Clearance
LRRK2 kinase activity regulates GCase level and enzymatic activity differently depending on cell type in Parkinson’s disease,Elucidating known PD pathways,Clearance
The GBA variant E326K is associated with alpha-synuclein aggregation and lipid droplet accumulation in human cell lines,Elucidating known PD pathways,Clearance
In vivo reduction of age-dependent neuromelanin accumulation mitigates features of Parkinson’s disease,Elucidating known PD pathways,Proteinopathy
Membrane curvature sensing and stabilization by the autophagic LC3 lipidation machinery,Elucidating known PD pathways,Clearance
Motor learning selectively strengthens cortical and striatal synapses of motor engram neurons,Foundational Biology,Circuitry & Neuromodulation
Towards a phenome-wide view of Parkinson’s disease,Confirmatory results,"Inflammation & Immune Regulation, PD Risk Factors"
Melanocortin 1 Receptor Activation Protects Against Alpha-Synuclein Pathologies in Models of Parkinson’s Disease,New target/circuit for PD,Proteinopathy
Membrane remodeling properties of the Parkinson’s disease protein LRRK2,Elucidating known PD pathways,"Clearance, Methods"
Highly efficient generation of isogenic pluripotent stem cell models using prime editing,New method/model to explore PD mechanism,Methods
Sst+ GPi output neurons provide direct feedback to key nodes of the basal ganglia and drive behavioral flexibility,Foundational Biology,Circuitry & Neuromodulation
Rab29-dependent asymmetrical activation of leucine-rich repeat kinase 2,Elucidating known PD pathways,"Clearance, Methods"
Structural basis for the specificity of PPM1H phosphatase for Rab GTPases,New target/circuit for PD,"Clearance, Methods"
Global ubiquitylation analysis of mitochondria in primary neurons identifies endogenous Parkin targets following activation of PINK,Elucidating known PD pathways,Clearance
Impact of 100 LRRK2 variants linked to Parkinson's Disease on kinase activity and microtubule binding,Elucidating known PD pathways,Clearance
Pathogenic LRRK2 control of primary cilia and Hedgehog signaling in neurons and astrocytes of mouse brain,Elucidating known PD pathways,Clearance
A feed-forward pathway drives LRRK2 kinase membrane recruitment and activation,Elucidating known PD pathways,Clearance
"PKC isoforms activate LRRK1 kinase by phosphorylating conserved residues (Ser1064, Ser1074 and Thr1075) within the CORB GTPase domain",Foundational Biology,Clearance
Disruption of lysosomal proteolysis in astrocytes facilitates midbrain proteostasis failure in an early-onset PD model,Elucidating known PD pathways,"Clearance,PD Risk Factors"
Structural basis for ATG9A recruitment to the ULK1 complex in mitophagy initiation,Elucidating known PD pathways,Clearance
Deficiency of the frontotemporal dementia gene GRN results in gangliosidosis.,Foundational Biology,Clearance
Genome-wide determinants of mortality and motor progression in Parkinson’s disease,New target/circuit for PD,"Omics, PD Risk Factors"
ggtranscript: an R package for the visualization and interpretation of transcript isoforms using ggplot2,New method/model to explore PD mechanism,Methods
Combining biomarkers for prognostic modelling of Parkinson’s disease,Confirmatory results,PD Risk Factors
Integrating protein networks and machine learning for disease stratification in the Hereditary Spastic Paraplegias,New method/model to explore PD mechanism,Methods
A Markov random field model-based approach for differentially expressed gene detection from single-cell RNA-seq data,New method/model to explore PD mechanism,Methods
A prebiotic diet modulates microglial states and motor deficits in α-synuclein overexpressing mice,Elucidating known PD pathways,"Gut & Microbiome, Imflammation & Immune Regulation"
Structural conversion of α-synuclein at the mitochondria induces neuronal toxicity,Elucidating known PD pathways,"Proteinopathy, Clearance"
Integrated multi-cohort analysis of the Parkinson's disease gut metagenome,New target/circuit for PD,Gut & Microbiome
Quantitative proteomics reveals the selectivity of ubiquitin-binding autophagy receptors in the turnover of damaged lysosomes by lysophagy,Elucidating known PD pathways,Clearance
In situ architecture of neuronal α-Synuclein inclusions,Elucidating known PD pathways,Proteinopathy
The extracellular chaperone Clusterin enhances Tau aggregate seeding in a cellular model,Elucidating known PD pathways,Proteinopathy
The Hsc70 disaggregation machinery removes monomer units directly from α-synuclein fibril ends,Elucidating known PD pathways,Proteinopathy
Structural and biochemical insights into lipid transport by VPS13 proteins,Foundational Biology,"Clearance, Methods"
In situ architecture of the lipid transport protein VPS13C at ER–lysosome membrane contacts,Elucidating known PD pathways,"Clearance, Methods"
Reconstitution of cargo-induced LC3 lipidation in mammalian selective autophagy,Elucidating known PD pathways,Clearance
ALS and FTD-associated missense mutations in TBK1 differentially disrupt mitophagy,Elucidating known PD pathways,Clearance
Structural basis for membrane recruitment of ATG16L1 by WIPI2 in Autophagy,Elucidating known PD pathways,Clearance
Therapeutic deep brain stimulation disrupts movement-related subthalamic nucleus activity in Parkinsonian mice,Elucidating known PD pathways,Circuitry & Neuromodulation
Loss of tau expression attenuates neurodegeneration associated with α-synucleinopathy,Elucidating known PD pathways,Proteinopathy
Damaged mitochondria recruit the effector NEMO to activate NF-κB signaling,Elucidating known PD pathways,Clearance
Single-cell transcriptomic and proteomic analysis of Parkinson’s disease Brains,New method/model to explore PD mechanism,"Inflammation & Immune Regulation,Methods"
Large-scale biophysically detailed model of somatosensory thalamocortical circuits in NetPyNE,New method/model to explore PD mechanism,Circuitry & Neuromodulation
Synaptic Location Is a Determinant of the Detrimental Effects of α-Synuclein Pathology to Glutamatergic Transmission in the Basolateral Amygdala,Elucidating known PD pathways,"Proteinopathy, Circuitry & Neuromodulation"
"Multiscale model of primary motor cortex circuits predicts in vivo cell type-specific, behavioral state-dependent dynamics",New method/model to explore PD mechanism,Circuitry & Neuromodulation
The AAA+ chaperone VCP disaggregates Tau fibrils and generates aggregate seeds in a cellular system,Elucidating known PD pathways,Proteinopathy
Association between the LRP1B and APOE loci and the development of Parkinson’s disease dementia,New target/circuit for PD,"PD Risk Factors, Methods"
Local genetic correlations exist among neurodegenerative and neuropsychiatric diseases,New method/model to explore PD mechanism,"PD Risk Factors, Methods"
Early Endosome Capture Proteomics and its Application to Amyloid Precursor Protein Intramembrane Processing by β and γ-Secretases,New method/model to explore PD mechanism,Clearance
In situ structural analysis reveals membrane shape transitions during autophagosome formation,Elucidating known PD pathways,Clearance
Mutations in Parkinsonism-linked endocytic proteins synaptojanin1 and auxilin have synergistic effects on dopaminergic axonal pathology,Elucidating known PD pathways,"Clearance, Methods"
Kufor-Rakeb Syndrome-Associated Psychosis: A Novel Loss-of-Function ATP13A2 Variant and Response to Treatment,Foundational Biology,Translational and Clinical Measures of Disease Biology
Adeno-associated viral vectors for functional intravenous gene transfer throughout the non-human primate brain,Foundational Biology,Methods
SHIP164 is a chorein motif lipid transfer protein that controls endosome-Golgi membrane traffic,Elucidating known PD pathways,Clearance
Subcellular and regional localization of mRNA translation in midbrain dopamine neurons,Elucidating known PD pathways,"Omics, Circuitry & Neuromodulation"
Parkinson’s disease and cancer: a systematic review and meta-analysis of over 17 million participants,Confirmatory results,Inflammation & Immune Regulation
Evaluation Of The Rims2 Locus As A Risk Locus For Parkinson’s Disease Dementia,Disprove target for PD,"PD Risk Factors, Cellular Subtyping"
Subcellular proteomics of dopamine neurons in the mouse brain,New method/model to explore PD mechanism,"Omics, Circuitry & Neuromodulation"
Hydrop enables droplet-based single-cell ATAC-seq and single-cell RNA-seq using dissolvable hydrogel beads,New method/model to explore PD mechanism,"Omics, Methods"
Transcriptional analysis of peripheral memory T cells reveals Parkinson’s disease-specific gene signatures,Elucidating known PD pathways,Inflammation & Immune Regulation
Peripheral neuronal activation shapes the microbiome and alters gut physiology,New method/model to explore PD mechanism,"Gut & Microbiome, Circuitry & Neuromodulation"
powerEQTL: An R package and shiny application for sample size and power calculation of bulk tissue and single-cell eQTL analysis,Foundational Biology,Omics
"ATP13A2 Regulates Cellular α-Synuclein Multimerization, Membrane Association, and Externalization",Elucidating known PD pathways,"Clearance, Proteinopathy"
ER-lysosome lipid transfer protein VPS13C/PARK23 prevents aberrant mtDNA-dependent STING signaling,Elucidating known PD pathways,Clearance
VPS13D bridges the ER to mitochondria and peroxisomes via Miro,Elucidating known PD pathways,Clearance
Presynaptic autophagy is coupled to the synaptic vesicle cycle via ATG-9,Foundational Biology,Clearance
Oncogenic BRAF V600E induces glial proliferation through ERK and neuronal death through JNK,New target/circuit for PD,Inflammation & Immune Regulation
Multi-modality machine learning predicting Parkinson’s disease,New method/model to explore PD mechanism,Omics
Cell-type-directed design of synthetic enhancers,Foundational Biology,Omics
Behavioral screening defines three molecular Parkinsonism subgroups in Drosophila,New method/model to explore PD mechanism,Omics
"Parkinson’s disease modeling in regenerative spiny mice (Acomys dimidiatus) captures key disease-relevant behavioral, histological, and molecular signatures",New method/model to explore PD mechanism,Methods
Aberrant striatal firing mediates impulsive decision-making in a mouse model of Parkinson's disease,Elucidating known PD pathways,Circuitry & Neuromodulation
State-dependent modulation of spiny projection neurons controls levodopa-induced dyskinesia in a mouse model of Parkinson’s disease,Elucidating known PD pathways,Circuitry & Neuromodulation
AAV tools enable functional modulation and readout of central and peripheral nervous systems in spiny mice,New method/model to explore PD mechanism,"Methods, Circuitry & Neuromodulation"
Alternate Splicing Directs PMCA2 to Lysosomes and is Linked to Neurodegeneration,Elucidating known PD pathways,Clearance
"Adenosine in the brain: recent progress on detection, function and translation",Elucidating known PD pathways,Circuitry & Neuromodulation
Parkinson’s Disease-vulnerable and -resilient dopamine neurons display opposite responses to excitatory input,New target/circuit for PD,Circuitry & Neuromodulation
LRRK2 mediates haloperidol-induced changes in indirect pathway striatal projection neurons,Elucidating known PD pathways,Circuitry & Neuromodulation
Leucine-rich repeat kinase 2 impairs the release sites of Parkinson’s disease vulnerable dopamine axons,Elucidating known PD pathways,Circuitry & Neuromodulation
New insights into axonal regulators of dopamine transmission in health and disease,Foundational Biology,Circuitry & Neuromodulation
PyRates—A code-generation tool for modeling dynamical systems in biology and beyond | PLOS Computational Biology,Foundational Biology,Methods
α-Synuclein pathology disrupts mitochondrial function in dopaminergic and cholinergic neurons at-risk in Parkinson’s disease | bioRxiv,Elucidating known PD pathways,Circuitry & Neuromodulation
GABAergic regulation of striatal spiny projection neurons depends upon their activity state,Foundational Biology,Circuitry & Neuromodulation
Integrated Representations of Threat and Control in the Lateral Frontal Pole,Foundational Biology,Circuitry & Neuromodulation
Aberrant striatal firing mediates impulsive decision-making in a mouse model of Parkinson’s disease,Elucidating known PD pathways,Circuitry & Neuromodulation
Remodelling of corticostriatal axonal boutons during motor learning,Foundational Biology,Circuitry & Neuromodulation
Micro-invasive probes for monitoring electrical and chemical neural activity in nonhuman primates,New method/model to explore PD mechanism,Methods
3D Bioprinting of Human Neural Tissues with Functional Connectivity | bioRxiv,New method/model to explore PD mechanism,"Methods, Circuitry & Neuromodulation"
"Introducing PIGMO, a novel PIGmented MOuse model of Parkinson’s disease",New method/model to explore PD mechanism,Methods
A neurocomputational view of the effects of Parkinson’s disease on speech production,Elucidating known PD pathways,Circuitry & Neuromodulation
LRRK2-mutant microglia and neuromelanin synergize to drive dopaminergic neurodegeneration in an iPSC-based Parkinson’s disease model,Elucidating known PD pathways,Cellular Subtyping
Longitudinal neuromelanin changes in prodromal and early Parkinson’s disease in humans and rat model,Elucidating known PD pathways,"Translational and Clinical Measures of Disease Biology, PD Risk Factors"
M4-mediated cholinergic transmission is reduced in parkinsonian mice and its restoration alleviates motor deficits and levodopa-induced dyskinesia,Elucidating known PD pathways,Circuitry & Neuromodulation
Adaptor protein-3 produces synaptic vesicles that release phasic dopamine | PNAS,Elucidating known PD pathways,Circuitry & Neuromodulation
Inhibition of striatal dopamine release by the L-type calcium channel inhibitor isradipine co-varies with risk factors for Parkinson’s,Elucidating known PD pathways,Circuitry & Neuromodulation
SynBot: An open-source image analysis software for automated quantification of synapses,New method/model to explore PD mechanism,"Methods, Circuitry & Neuromodulation"
Extracellular space diffusion modelling identifies distinct functional advantages of archetypical glutamatergic and GABAergic synapse geometries,Foundational Biology,Circuitry & Neuromodulation
Neuromodulator control of energy reserves in dopaminergic neurons.,Elucidating known PD pathways,Circuitry & Neuromodulation
"Single-cell multiomics identifies both shared and unique features of immune dysfunction in the colon, plasma and stool from individuals diagnosed with Parkinson’s disease or inflammatory bowel disease",Foundational Biology,"Gut & Microbiome, Inflammation & Immune Regulation"
Modulation of neural cell state by PARK2 and dopaminergic neuroprotection via small molecule Parkin agonism,Elucidating known PD pathways,Translational and Clinical Measures of Disease Biology
"The Gut Microbiome, Systemic Inflammation, and Autoimmunity in Parkinson’s Disease",New target/circuit for PD,"Gut & Microbiome, Inflammation & Immune Regulation"
"Faecalibacterium prausnitzii, depleted in the Parkinson’s disease microbiome, improves motor deficits in α-synuclein overexpressing mice",Elucidating known PD pathways,"Gut & Microbiome, Imflammation & Immune Regulation"
Iron mishandling in the brain and periphery in Parkinson’s disease,Elucidating known PD pathways,Gut & Microbiome
Structural remodeling of the mitochondrial protein biogenesis machinery under proteostatic stress,Elucidating known PD pathways,Clearance
Protein network analysis links the NSL complex to Parkinson's disease and mitochondrial biology,Elucidating known PD pathways,Clearance
Targeting mitophagy in neurodegenerative diseases,Elucidating known PD pathways,Clearance
The mitochondrial unfolded protein response promotes human microglial senescence by enhancing SAM availability for polyamine synthesis,Foundational Biology,Clearance
Structural remodeling of the mitochondrial protein biogenesis machinery under proteostatic stress,Elucidating known PD pathways,Clearance
CHCHD2 mutant mice link mitochondrial deficits to PD pathophysiology,New method/model to explore PD mechanism,"Clearance, Proteinopathy"
PINK1 is a target of T cell responses in Parkinson's disease,Elucidating known PD pathways,Clearance
LRRK2-G2019S acts as a dominant interfering mutant in the context of iron overload,Elucidating known PD pathways,Clearance
"iNeurons are sweet, maybe too sweet? Exploring the impact of media composition on PINK1-dependent mitophagy",New method/model to explore PD mechanism,Clearance
Mitochondria in healthy spiny mice ear pinna fibroblasts resemble megamitochondria,Foundational Biology,Clearance
Matters arising: Forced Symmetry Artifacts in a Prohibitin Complex Structure,Foundational Biology,Clearance
Pathways controlling neurotoxicity and proteostasis in mitochondrial complex I deficiency | bioRxiv,Elucidating known PD pathways,Clearance
Lysosomal storage disease proteo/lipidomic profiling using nMOST links ferritinophagy with mitochondrial iron deficiencies in cells lacking NPC2,New method/model to explore PD mechanism,Clearance
Autophagy preferentially degrades non-fibrillar polyQ aggregates,Foundational Biology,"Clearance, PD Risk Factors"
KAT8 compound inhibition inhibits PINK1/Parkin-dependent mitophagy and initiates mitochondrial delivery to lysosomes | bioRxiv,New target/circuit for PD,Clearance
Mitochondrial damage triggers concerted degradation of negative regulators of neuronal autophagy,Elucidating known PD pathways,Clearance
AI-directed voxel extraction and volume EM identify intrusions as sites of mitochondrial contact,New method/model to explore PD mechanism,Clearance
Genetically Encoded and Modular SubCellular Organelle Probes (GEM-SCOPe) reveal lysosomal and mitochondrial dysfunction driven by PRKN knockout,New method/model to explore PD mechanism,Clearance
Systems-level analyses dissociate genetic regualtors of reactive oxygen species and energy production,Elucidating known PD pathways,Clearance
