title,id,type,subtype,firstVersionTitle,firstVersionType,firstVersionRrid,firstVersionAccession,firstVersionLink
PARK15/FBXO7 is dispensable for PINK1/Parkin mitophagy in iNeurons and HeLa cell systems,e8b50435-f239-4842-89ea-912ce96a98bb,Published,Original Research,PARK15/FBXO7 is dispensable for PINK1/Parkin mitophagy in iNeurons and HeLa cell systems,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.11.02.514817v1
Dopamine transporter and synaptic vesicle sorting defects underlie auxilin-associated Parkinson's disease,46f629c4-c6aa-44a3-9437-57a545e490cf,Published,Original Research,Dopamine transporter and synaptic vesicle sorting defects initiate auxilin-linked Parkinson’s disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.02.04.479203v1
The lipid flippase ATP10B enables cellular lipid uptake under stress conditions,53bea19e-e8b6-4cd0-bf04-480fbd6d968d,Published,Original Research,The lipid flippase ATP10B enables cellular lipid uptake under stress conditions,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.06.01.543059v1
Parkinson's VPS35[D620N] mutation induces LRRK2-mediated lysosomal association of RILPL1 and TMEM55B,5857fa08-2f09-44b4-b92c-cbc29f9872dc,Published,Original Research,Parkinson's VPS35[D620N] mutation induces LRRK2 mediated lysosomal association of RILPL1 and TMEM55B,Preprint,,,https://www.biorxiv.org/search/VPS35%252B
Protein aggregation and calcium dysregulation are hallmarks of familial Parkinson’s disease in midbrain dopaminergic neurons,ca1695b9-0b1f-4c47-b6a8-40ad4c183b17,Published,Original Research,Protein aggregation and calcium dysregulation are the earliest hallmarks of synucleinopathy in human midbrain dopaminergic neurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.10.28.514238v1
Simulations predict differing phase responses to excitation vs. inhibition intheta-resonant pyramidal neurons,16f4c19a-fad2-49fd-8ea0-f4f6d2d261d0,Published,Original Research,Neuronal phase shifts differ for excitation vs. inhibition: a computer modeling study,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.03.20.533519v1?versioned=true
LRRK2 suppresses lysosome degradative activity in macrophages and microglia through MiT-TFE transcription factor inhibition,149f7515-361e-4cdd-860c-9414f37aaf32,Published,Original Research,LRRK2 Suppresses Lysosome Degradative Activity in Macrophages and Microglia via Transcription Factor E3 Inhibition,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.12.17.520834v1?versioned=true
Mitoguardin-2–mediated lipid transfer preserves mitochondrial morphology and lipid droplet formation,04043415-a10d-412a-9047-e59af955f8c1,Published,Original Research,Mitoguardin-2 is a lipid transporter and its lipid transfer ability is required for function,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.07.08.499339v1
TNF-NF-κB-p53 axis restricts in vivo survival of hPSC-derived dopamine neurons,ffc98eb4-40fd-4df1-b90e-1ee10babfe6c,Published,Original Research,TNF-NFkB-p53 axis restricts in vivo survival of hPSC-derived dopamine neuron,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.03.29.534819v1
"Rapid iPSC inclusionopathy models shed light on formation, consequence, and molecular subtype of α-synuclein inclusions",fe09471a-8ac8-4109-910d-cec213798274,Published,Original Research,"Rapid iPSC inclusionopathy models shed light on formation, consequence and molecular subtype of α-synuclein inclusions",Preprint,,,https://www.biorxiv.org/content/10.1101/2022.11.08.515615v3
Nicotine-Mediated Rescue of α-Synuclein Toxicity Requires Synaptic Vesicle Glycoprotein 2 in Drosophila,18fd00a0-91fb-4ef6-901b-58ed849d8d3a,Published,Original Research,Nicotine-mediated rescue of α-synuclein toxicity requires synaptic vesicle glycoprotein 2,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.07.26.501592v1
Spatial transcriptomics reveals molecular dysfunction associated with Lewy pathology,985262d0-0f98-4ad0-8d71-fc1fd6102157,Published,Original Research,Spatial transcriptomics reveals molecular dysfunction associated with Lewy pathology,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.05.17.541144v1
The annotation of GBA1 has been concealed by its protein-coding pseudogene GBAP1,0522da78-76c8-4860-9f90-a8d3137a10b4,Published,Original Research,The annotation and function of the Parkinson’s and Gaucher disease-linked gene GBA1 has been concealed by its protein-coding pseudogene GBAP1,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.10.21.513169v2.full
Border-associated macrophages mediate the neuroinflammatory response in an alpha-synuclein model of Parkinson disease,3a31504e-e849-47d7-9b2f-571dbc0a53a6,Published,Original Research,Border-associated macrophages mediate the neuroinflammatory response in an alpha-synuclein model of Parkinson disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.10.12.511960v1
Conserved and cell type-specific transcriptional responses to IFN-γ in the ventral midbrain,807d056f-ff35-4c33-b011-65991a16dcbe,Published,Original Research,Conserved and cell type-specific transcriptional responses to IFN-γ in the ventral midbrain,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.12.14.520294v2
Unaltered T cell responses to common antigens in individuals with Parkinson’s disease,a1d9acbe-44af-4f52-99e5-d1aed600aab4,Published,Original Research,Unaltered T cell responses to common antigens in individuals with Parkinson’s disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.04.05.487195v1
Genetic and pharmacological reduction of CDK14 mitigates synucleinopathy,ee633693-74d5-4a3f-bf5f-164a2d0d203d,Published,Original Research,Genetic and pharmacological reduction of CDK14 mitigates synucleinopathy,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.05.02.490309v1.full
"Constitutive nuclear accumulation of endogenous alpha-synuclein in mice causes motor impairment and cortical dysfunction, independent of protein aggregation",a702f989-bf9a-4dae-9bac-d048e892f230,Published,Original Research,"Constitutive nuclear accumulation of endogenous alpha-synuclein in mice causes motor dysfunction and cortical atrophy, independent of protein aggregation",Preprint,,,https://www.biorxiv.org/content/10.1101/2021.10.13.464123v1
Spatial snapshots of amyloid precursor protein intramembrane processing via early endosome proteomics,20fecdf8-0639-42af-b592-b7a40023b370,Published,Original Research,Early Endosome Capture Proteomics and its Application to Amyloid Precursor Protein Intramembrane Processing by β and γ-Secretases,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.03.31.486371v1
Population fraction of Parkinson’s disease attributable to preventable risk factors,e25a04f9-6a46-4af3-9292-43d6c425b243,Published,Original Research,Population fraction of Parkinson’s disease attributable to preventable risk factors,Preprint,,,https://www.medrxiv.org/content/10.1101/2023.05.19.23290231v1
Basal ganglia neurons in healthy and parkinsonian primates generate recurring sequences of spikes,62b971b3-d34c-47ed-8fbc-4cd2ec579338,Published,Original Research,Basal Ganglia Neurons in Healthy and Parkinsonian Primates Generate Recurring Sequences of Spikes,Preprint,,,"https://www.biorxiv.org/content/biorxiv/early/2022/05/26/2022.05.25.493476.full.pdf#:~:text=Our%20study%2C%20generated%20using%20data%20from%20normal%20and,alters%20the%20prevalence%20and%20duration%20of%20such%20sequences."
Metagenomics of Parkinson’s disease implicates the gut microbiome in multiple disease mechanisms,e3ca9025-e163-4ae8-9bfb-f540864434ce,Published,Original Research,Metagenomics of Parkinson’s disease implicates the gut microbiome in multiple disease mechanisms,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.06.08.495316v1
Early deficits in an in vitro striatal microcircuit model carrying the Parkinson’s GBA-N370S mutation,698ee09f-9678-4ec6-86ba-308bc766264e,Published,Original Research,Early striatal hyperexcitability in an in vitro human striatal microcircuit model carrying the Parkinson’s GBA-N370S mutation,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.03.01.530566v1
"Single-cell spatial transcriptomic and translatomic profiling of dopaminergic neurons in health, aging, and disease",98dd3eef-77ff-4017-aaf1-e4bc32de37be,Published,Original Research,"Single cell spatial transcriptomic and translatomic profiling of dopaminergic neurons in health, ageing and disease",Preprint,,,https://www.biorxiv.org/content/10.1101/2023.04.20.537553v1
"Scalable, flexible carbon fiber electrode thread arrays for three-dimensional probing of neurochemical activity in deep brain structures of rodents",6c05fa9d-5f8e-4ba5-b047-39de5c1c83bc,Published,Original Research,"Scalable, flexible carbon fiber electrode thread arrays for three-dimensional spatial profiling of neurochemical activity in deep brain structures of rodents",Preprint,,,https://www.biorxiv.org/content/10.1101/2023.04.15.537033v1.abstract
Multi-ancestry genome-wide meta-analysis in Parkinson’s disease,2e903084-3a13-438a-9c09-49f98def3843,Published,Original Research,Multi-ancestry genome-wide meta-analysis in Parkinson’s disease,Preprint,,,https://www.medrxiv.org/content/10.1101/2022.08.04.22278432v1
DOPA pheomelanin is increased in nigral neuromelanin of Parkinson’s disease,e09c944f-908d-428d-8381-75e620167db5,Published,Original Research,DOPA pheomelanin is increased in nigral neuromelanin of Parkinson’s disease and it exacerbates alpha-synuclein neurotoxicity,Preprint,,,https://www.medrxiv.org/content/10.1101/2022.06.30.22277063v1
Regulation of mitophagy by the NSL complex underlies genetic risk for Parkinson’s disease at 16q11.2 and MAPT H1 loci,dbd07f43-765c-41ec-8cea-bffd9f6de82d,Published,Original Research,Regulation of mitophagy by the NSL complex underlies genetic risk for Parkinson’s disease at Chr16q11.2 and on the MAPT H1 allele,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.01.06.896241v1?versioned=true
Unconventional secretion of α-synuclein mediated by palmitoylated DNAJC5 oligomers,85d9f1d2-6a5e-4b64-b734-668378d937ba,Published,Original Research,Unconventional secretion of α-synuclein mediated by palmitoylated DNAJC5 oligomers,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.01.27.477991v1?versioned=true
Assessment of heterogeneity and disease onset in the Parkinson’s Progression Markers Initiative (PPMI) cohort using the α-synuclein seed amplification assay: a cross-sectional study,680cb2bc-dbee-401e-a456-3bcab762cd86,Published,Original Research,Assessment of heterogeneity and disease onset in the Parkinson’s Progression Markers Initiative (PPMI) cohort using the α-synuclein seed amplification assay: a cross-sectional study,Preprint,,,https://www.medrxiv.org/content/10.1101/2023.02.27.23286156v1
A data-driven single-cell and spatial transcriptomic map of the human prefrontal cortex,31db19b7-f899-4a15-9e61-d053339116d6,Published,Original Research,Integrated single cell and unsupervised spatial transcriptomic analysis defines molecular anatomy of the human dorsolateral prefrontal cortex,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.02.15.528722v1
Genome-wide screen reveals Rab12 GTPase as a critical activator of Parkinson's disease-linked LRRK2 kinase,5fe42b40-217a-4e6c-a594-1510fb1eaf74,Published,Original Research,Genome-wide screen reveals Rab12 GTPase as a critical activator of pathogenic LRRK2 kinase,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.02.17.529028v1
Protein network analysis links the NSL complex to Parkinson’s disease via mitochondrial and nuclear biology,5e1aed10-6a8e-49bc-a20a-01dbb42f6df2,Published,Original Research,Protein network analysis links the NSL complex to Parkinson’s disease and mitochondrial biology,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.01.27.524249v1
The non-specific lethal complex regulates genes and pathways genetically linked to Parkinson’s disease,d7ed48a9-f7ba-4483-99a1-79938fa0fe73,Published,Original Research,The non-specific lethal complex regulates genes and pathways genetically linked to Parkinson’s disease,Preprint,,,https://academic.oup.com/brain/advance-article/doi/10.1093/brain/awad246/7234024
Serine-129 phosphorylation of α-synuclein is an activity-dependent trigger for physiologic protein-protein interactions and synaptic function,b42c0297-fb81-45d9-8f19-776822fa6b8e,Published,Original Research,Serine-129 phosphorylation of α-synuclein is a trigger for physiologic protein-protein interactions and synaptic function,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.12.22.521485v1
Novel green fluorescent polyamines to analyze ATP13A2 and ATP13A3 activity in the mammalian polyamine transport system,18665245-81a1-4e16-bf22-ddb57ac440e8,Published,Original Research,Novel green fluorescent polyamines to analyze ATP13A2 and ATP13A3 activity in the mammalian polyamine transport system,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.12.15.520427v1
Temporal landscape of mitochondrial proteostasis governed by the UPRmt,b65d871d-a49a-430d-ae1a-7e5b567a1048,Published,Original Research,Temporal landscape of mitochondrial proteostasis governed by the UPRmt,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.11.30.518286v1
"Golgi-IP, a novel tool for multimodal analysis of Golgi molecular content",d49495f6-9678-44a6-aa1d-280f2241b41e,Published,Original Research,"Golgi-IP, a novel tool for multimodal analysis of Golgi molecular content",Preprint,,,https://www.biorxiv.org/content/10.1101/2022.11.22.517583v1
"Regulatory imbalance between LRRK2 kinase, PPM1H phosphatase, and ARF6 GTPase disrupts the axonal transport of autophagosomes",3309f9c0-8329-4447-b895-e3d183841bed,Published,Original Research,"Regulatory imbalance between LRRK2 kinase, PPM1H phosphatase, and ARF6 GTPase disrupts the axonal transport of autophagosomes",Preprint,,,https://www.biorxiv.org/content/10.1101/2022.11.14.516471v1
Unconventional Initiation of PINK1/Parkin Mitophagy by Optineurin,1ea632c9-88ce-4834-8d30-7beaa2e65e6d,Published,Original Research,Unconventional Initiation of PINK1/Parkin Mitophagy by Optineurin,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.08.14.503930v1
Genome-wide Analysis of Motor Progression in Parkinson Disease,2f13c86c-b145-4b63-9c2b-bf62f3cbe375,Published,Original Research,Association of genetic variation at the GJA5/ACP6 locus with motor progression in Parkinson’s,Preprint,,,https://www.medrxiv.org/content/10.1101/2022.10.28.22281645v1
Detection of mosaic and population-level structural variants with Sniffles2,3cd514b6-90af-4e4f-a735-7e67f4b32a2c,Published,Original Research,Comprehensive Structural Variant Detection: From Mosaic to Population-Level,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.04.04.487055v2
Sphingolipid changes in Parkinson L444P GBAmutation fibroblasts promote α-synuclein aggregation,1eeaa9ac-2a85-4cf2-8a2e-644bdbc2cf2f,Published,Original Research,Sphingolipid changes in Parkinson L444P GBA mutation fibroblasts promote α-synuclein aggregation,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.11.09.375048v1
Glucocerebrosidase is imported into mitochondria and preserves complex I integrity and energy metabolism,9e20fc3f-f8b5-41d9-b251-028581ac5f7b,Published,Original Research,"Glucocerebrosidase, a Parkinson´s disease-associated protein, is imported into mitochondria and regulates complex I assembly and function",Preprint,,,https://www.researchsquare.com/article/rs-1521848/v1
LRRK2 kinase activity regulates GCase level and enzymatic activity differently depending on cell type in Parkinson’s disease,86c41073-d92f-4107-87fa-4ffe10fd6222,Published,Original Research,The activities of LRRK2 and GCase are positively correlated in clinical biospecimens and experimental models of Parkinson’s disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.09.27.461935v1
The GBA variant E326K is associated with alpha-synuclein aggregation and lipid droplet accumulation in human cell lines,dc264f95-7be6-4b3d-8bc1-475d011fc327,Published,Original Research,The GBA variant E326K is associated with alpha-synuclein aggregation and lipid droplet accumulation in human cell lines,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.06.01.494130v1.full
In vivo reduction of age-dependent neuromelanin accumulation mitigates features of Parkinson’s disease,8412666d-55ba-49b4-a8a7-3aa58f88f959,Published,Original Research,In vivo reduction of age-dependent neuromelanin accumulation mitigates features of Parkinson’s disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.08.08.503142v1
Membrane curvature sensing and stabilization by the autophagic LC3 lipidation machinery,300d3208-9b3b-4f2b-a3ad-50336f6f1d04,Published,Original Research,Membrane curvature sensing and stabilization by the autophagic LC3 lipidation machinery,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.05.03.490522v1
Motor learning selectively strengthens cortical and striatal synapses of motor engram neurons,d50671e7-2adb-4910-8502-f59181b78420,Published,Original Research,Motor learning selectively strengthens cortical and striatal synapses of motor engram neurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.10.28.466357v1
Melanocortin 1 Receptor Activation Protects Against Alpha-Synuclein Pathologies in Models of Parkinson’s Disease,b351c74f-cfbe-489a-9206-1363e8113325,Published,Original Research,Melanocortin 1 Receptor Activation Protects Against Alpha-Synuclein Pathologies in Models of Parkinson’s Disease,Preprint,,,https://www.researchsquare.com/article/rs-286792/v1
Membrane remodeling properties of the Parkinson’s disease protein LRRK2,c36219bf-604d-4683-8b84-9971f8115c67,Published,Original Research,Membrane remodeling properties of the Parkinson’s disease protein LRRK2,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.08.10.503505v1
Highly efficient generation of isogenic pluripotent stem cell models using prime editing,463760a1-b582-4ef8-a12e-712906721f84,Published,Original Research,Highly efficient generation of isogenic pluripotent stem cell models using prime editing,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.02.15.480601v1
Rab29-dependent asymmetrical activation of leucine-rich repeat kinase 2,b1826f68-b38f-404d-8632-3a8538adfe85,Published,Original Research,Structural basis of human LRRK2 membrane recruitment and activation (Preprint),Preprint,,,https://www.biorxiv.org/content/10.1101/2022.04.26.489605v1.full
Structural basis for the specificity of PPM1H phosphatase for Rab GTPases,b39c5828-4299-42b1-957f-ebb98b517562,Published,Original Research,Structural basis for the specificity of PPM1H phosphatase for Rab GTPases,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.02.17.431620v1
Global ubiquitylation analysis of mitochondria in primary neurons identifies endogenous Parkin targets following activation of PINK,4bac7022-c419-4531-a12b-c110237e499b,Published,Original Research,Global ubiquitylation analysis of mitochondria in primary neurons identifies physiological Parkin targets following activation of PINK1,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.04.01.438131v1
Impact of 100 LRRK2 variants linked to Parkinson's Disease on kinase activity and microtubule binding,dadbf48e-7569-4e46-8783-2575f8b0f914,Published,Original Research,Impact of 98 LRRK2 variants linked to Parkinson’s Disease on kinase activity and microtubule binding,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.04.01.486724v1
Pathogenic LRRK2 control of primary cilia and Hedgehog signaling in neurons and astrocytes of mouse brain,b6770a7e-6442-4f4e-8841-b104b33a6569,Published,Original Research,Pathogenic LRRK2 control of primary cilia and Hedgehog signaling in neurons and astrocytes of mouse brain,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.03.02.433576v1
A feed-forward pathway drives LRRK2 kinase membrane recruitment and activation,92e19152-b6f5-44d5-bb53-39460b1f883f,Published,Original Research,A Feed-forward Pathway Drives LRRK2 kinase Membrane Recruitment and Apparent Activation,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.04.25.489459v1
"PKC isoforms activate LRRK1 kinase by phosphorylating conserved residues (Ser1064, Ser1074 and Thr1075) within the CORB GTPase domain",4f533d56-7508-4da3-bb4b-dc05dff07324,Published,Original Research,"PKC isoforms activate LRRK1 kinase by phosphorylating conserved residues (Ser1064, Ser1074 and Thr1075) within the CORB GTPase domain",Preprint,,,https://www.biorxiv.org/content/10.1101/2022.06.09.495448v2
Disruption of lysosomal proteolysis in astrocytes facilitates midbrain proteostasis failure in an early-onset PD model,36e427b6-d6e8-41dc-adbc-553c0b463c50,Published,Original Research,Disruption of lysosomal proteolysis in astrocytes facilitates midbrain proteostasis failure in an early-onset PD model,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.08.26.505472v1
Structural basis for ATG9A recruitment to the ULK1 complex in mitophagy initiation,5cd2b317-239a-4883-bdfa-824baca49d28,Published,Original Research,Structural basis for ATG9A recruitment to the ULK1 complex in mitophagy initiation,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.07.12.499634v1
Deficiency of the frontotemporal dementia gene GRN results in gangliosidosis.,ae4a6aa1-601f-45fe-9b16-c4967e2dc6da,Published,Original Research,Progranulin deficiency results in reduced bis(monoacylglycero)phosphate (BMP) levels and gangliosidosis,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.09.30.461806v1
Genome-wide determinants of mortality and motor progression in Parkinson’s disease,67759e20-d27f-4bcb-a293-692735928a9b,Published,Original Research,Genome-wide determinants of mortality and clinical progression in Parkinson’s disease,Preprint,,,https://www.medrxiv.org/content/10.1101/2022.07.07.22277297v2
ggtranscript: an R package for the visualization and interpretation of transcript isoforms using ggplot2,8043186e-7696-4c3f-a9a8-9195921a13d2,Published,Original Research,ggtranscript: an R package for the visualization and interpretation of transcript isoforms using ggplot2,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.03.28.486050v1
Combining biomarkers for prognostic modelling of Parkinson’s disease,bbdd90d7-54a0-43c5-97fa-6b69a0306a54,Published,Original Research,Serum neurofilament light as a biomarker for prognosis in patients with newly diagnosed Parkinson’s disease,Preprint,,,https://www.medrxiv.org/content/10.1101/2021.11.01.21265751v1
Integrating protein networks and machine learning for disease stratification in the Hereditary Spastic Paraplegias,f4ebd3b7-c99c-4b8e-a32c-5b58705fb5d5,Published,Original Research,Integrating protein networks and machine learning for disease stratification in the Hereditary Spastic Paraplegias,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.01.14.425874v1
A Markov random field model-based approach for differentially expressed gene detection from single-cell RNA-seq data,51053cc1-5112-46e3-8034-1d56ef371a27,Published,Original Research,A Markov Random Field Model for Network-based Differential Expression Analysis of Single-cell RNA-seq Data,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.11.11.378976v2
A prebiotic diet modulates microglial states and motor deficits in α-synuclein overexpressing mice,028d2b5a-c37b-4749-ac24-62e736b7d240,Published,Original Research,A prebiotic diet modulates microglial states and motor deficits in α-synuclein overexpressing mice,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.06.27.497828v1.full
Structural conversion of α-synuclein at the mitochondria induces neuronal toxicity,d4c056c3-af9c-4eeb-9fae-a3f15e48b03a,Published,Original Research,Structural conversion of α-synuclein at the mitochondria induces neuronal toxicity,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.06.07.494932v1
Integrated multi-cohort analysis of the Parkinson's disease gut metagenome,ad9da623-1ef4-4fd4-bf5e-71780b6303cd,Published,Original Research,Integrated multi-cohort analysis of the Parkinson’s disease gut metagenome,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.07.20.500694v1
Quantitative proteomics reveals the selectivity of ubiquitin-binding autophagy receptors in the turnover of damaged lysosomes by lysophagy,f051bd80-cbfc-40a0-9b98-70fa356e0fff,Published,Original Research,Quantitative proteomics reveals the selectivity of ubiquitin-binding autophagy receptors in the turnover of damaged lysosomes by lysophagy,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.07.19.452535v1
In situ architecture of neuronal α-Synuclein inclusions,b4a30362-f331-4bf9-8cf2-1d64f31a26e7,Published,Original Research,In situ architecture of neuronal α-Synuclein inclusions,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.08.07.234138v1
The extracellular chaperone Clusterin enhances Tau aggregate seeding in a cellular model,2cf4f85e-84a5-4d04-9de4-bf430382631b,Published,Original Research,The extracellular chaperone Clusterin enhances Tau aggregate seeding in a cellular model,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.07.16.452659v1
The Hsc70 disaggregation machinery removes monomer units directly from α-synuclein fibril ends,6ad2c626-b447-463d-a4b5-97190213851b,Published,Original Research,The Hsc70 Disaggregation Machinery Removes Monomer Units Directly from α-Synuclein Fibril Ends,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.11.02.365825v1
Structural and biochemical insights into lipid transport by VPS13 proteins,51c6c03f-8676-4e61-a3d3-98c9d9af7de8,Published,Original Research,Structural and biochemical insights into lipid transport by VPS13 proteins,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.03.11.484024v1
In situ architecture of the lipid transport protein VPS13C at ER–lysosome membrane contacts,62dbdfd3-7f5b-465a-b6b9-1b85d343ba31,Published,Original Research,In situ architecture of the lipid transport protein VPS13C at ER-lysosomes membrane contacts,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.03.08.482579v1
Reconstitution of cargo-induced LC3 lipidation in mammalian selective autophagy,d8d6b935-451c-4737-b4d1-75fc10c5f287,Published,Original Research,Reconstitution of cargo-induced LC3 lipidation in mammalian selective autophagy,Preprint,,,"https://www.biorxiv.org/content/10.1101/2021.01.08.425958v1#:~:text=Current%20models%20suggest%20that%20the%20presence%20of%20clustered,ATG7%2C%20ATG3%2C%20and%20ATG12-ATG5-ATG16L1%20machinery%20of%20LC3%20lipidation."
ALS and FTD-associated missense mutations in TBK1 differentially disrupt mitophagy,78ac79a5-09c6-464b-9769-0b8514615ec1,Published,Original Research,ALS and FTD-associated missense mutations in TBK1 differentially disrupt mitophagy,Preprint,,,"https://www.biorxiv.org/content/10.1101/2021.04.12.439050v1#:~:text=More%20than%2090%20distinct%20mutations%20in%20TBK1%20are,mitophagy%20receptor%20optineurin%20%28OPTN%29%2C%20auto-activate%2C%20or%20catalyze%20phosphorylation."
Structural basis for membrane recruitment of ATG16L1 by WIPI2 in Autophagy,7f14d4a0-f253-4bd6-996f-07179db2e1cc,Published,Original Research,Structural Basis for Membrane Recruitment of ATG16L1 by WIPI2 in Autophagy,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.05.14.444175v1
Therapeutic deep brain stimulation disrupts movement-related subthalamic nucleus activity in Parkinsonian mice,de5f69f5-b356-43fe-861e-5a03af438dfb,Published,Original Research,Therapeutic Deep Brain Stimulation Disrupts Subthalamic Nucleus Activity Dynamics in Parkinsonian Mice,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.11.12.468404v1
Loss of tau expression attenuates neurodegeneration associated with α-synucleinopathy,9ce15389-c6da-43fa-839b-3afe9fa5be24,Published,Original Research,Loss of Tau Expression Attenuates Neurodegeneration Associated with α-Synucleinopathy,Preprint,,,https://www.researchsquare.com/article/rs-1150251/v1
Damaged mitochondria recruit the effector NEMO to activate NF-κB signaling,04fb3d04-49cb-4a22-9571-55206b9a421c,Published,Original Research,Damaged mitochondria recruit the effector NEMO to activate NF-κB signaling,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.06.21.496850v1
Large-scale biophysically detailed model of somatosensory thalamocortical circuits in NetPyNE,ce0ac9a4-082e-42ad-8576-3a77ca9ee409,Published,Original Research,Large-scale biophysically detailed model of somatosensory thalamocortical circuits in NetPyNE,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.02.03.479029v2
Synaptic Location Is a Determinant of the Detrimental Effects of α-Synuclein Pathology to Glutamatergic Transmission in the Basolateral Amygdala,99b2cb78-5def-477b-a416-400e7eada201,Published,Original Research,Synaptic Location Is a Determinant of the Detrimental Effects of α-Synuclein Pathology to Glutamatergic Transmission in the Basolateral Amygdala,Preprint,,,"https://www.biorxiv.org/content/10.1101/2022.02.20.481207v2.full.pdf#:~:text=In%20conclusion%2C%20%CE%B1Syn%20expression%20is%20restricted%20in%20a,has%20been%20associated%20with%20psychiatric%20deficits%20in%20PD."
"Multiscale model of primary motor cortex circuits predicts in vivo cell type-specific, behavioral state-dependent dynamics",8cf91414-ca06-4421-831f-48e7eb01a175,Published,Original Research,Multiscale model of primary motor cortex circuits reproduces in vivo cell type-specific dynamics associated with behavior,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.02.03.479040v1?versioned=true
The AAA+ chaperone VCP disaggregates Tau fibrils and generates aggregate seeds in a cellular system,2e950ca0-3828-4cdc-afcb-983c24ae6fd2,Published,Original Research,The AAA+ chaperone VCP disaggregates Tau fibrils and generates aggregate seeds,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.02.18.481043v1.article-info
Association between the LRP1B and APOE loci and the development of Parkinson’s disease dementia,edb97fd0-a34f-41a4-96ee-821f0c1d4ce1,Published,Original Research,Association between the LRP1B and APOE loci and the development of Parkinson’s disease dementia,Preprint,,,https://www.medrxiv.org/content/10.1101/2022.05.23.22275465v1
Local genetic correlations exist among neurodegenerative and neuropsychiatric diseases,44c187fe-7357-45a8-bd73-13ec7c3f16f5,Published,Original Research,Local genetic correlations exist among neurodegenerative and neuropsychiatric diseases,Preprint,,,https://www.medrxiv.org/content/10.1101/2022.05.30.22275781v1
In situ structural analysis reveals membrane shape transitions during autophagosome formation,87749124-c898-42ba-a200-579528ee6b07,Published,Original Research,In situ structural analysis reveals membrane shape transitions during autophagosome formation,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.05.02.490291v1.full
